Log for:/Users/brloureiro/dev-projects/webpage_new/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2022-12-21T06:23:14Z
#=#=#=# Syncrun finished 2022-12-21T06:23:14Z (last step: 16 msec , total: 16 msec) 
#=#=#=# Syncrun started 2022-12-21T08:57:33Z
#=#=#=# Syncrun finished 2022-12-21T08:57:33Z (last step: 12 msec , total: 12 msec) 
#=#=#=# Syncrun started 2022-12-22T00:40:42Z
#=#=#=# Syncrun finished 2022-12-22T00:40:42Z (last step: 5 msec , total: 5 msec) 
#=#=#=# Syncrun started 2022-12-22T20:48:43Z
#=#=#=#=# Propagation starts 2022-12-22T20:48:45Z (last step: 1975 msec , total: 1975 msec) 
2022-12-22T20:48:54Z | _includes/scripts/masonry.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 90e873af3a471a528294382f7be1913b | 477 | 2866001958ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | a4bc79a2-2cba-4987-9ef9-5c0366632f7d | 
2022-12-22T20:48:52Z | _includes/scripts/bootstrap.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | f77fe8e94e688768f6faa98888e40cbd | 572 | 2866001858ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | bae15af7-1a5f-4f4b-b4d1-d8348b8bdfca | 
2022-12-22T20:48:47Z | _includes/scripts | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 |  | 256 | 2866001742ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 747dcaac-3e47-443d-851c-b6d54ff19b0d | 
2022-12-22T20:48:55Z | _includes/projects_horizontal.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 1d14cbb6147963864883760d5ab1ae59 | 1505 | 2866001978ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c8a5d03b-6d5c-40e2-992f-f73df9e77b44 | 
2022-12-22T20:48:54Z | _includes/projects.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 6bc0d3ec8aee6707391d0c4a0eda8fcc | 1338 | 2866001950ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 39baa1bf-1c2e-4408-b520-d33f70961875 | 
2022-12-22T20:48:57Z | _includes/social.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 04918cc5d0f961961a185edc046af62f | 3538 | 2866002018ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 377e535b-c00b-4572-bc3a-db42e2ab74b8 | 
2022-12-22T20:48:58Z | _layouts/archive-year.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 4ae4d9513ee53777e468244066030a3d | 686 | 2866002038ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 0bf35210-1a1b-4fa8-86b0-0c735b0870b7 | 
2022-12-22T20:48:56Z | _includes/selected_papers.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | ed651691766b41a020e61120ded70242 | 161 | 2866002010ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | f7cb025a-133e-4af6-a06d-9f4c97599921 | 
2022-12-22T20:48:45Z | _includes | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 |  | 448 | 2866001666ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 1c4d9ae4-c514-4090-8b9a-802007f98924 | 
2022-12-22T20:48:56Z | _layouts/archive-category.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 6465b19cfcae94e27f7d923975cf02c5 | 671 | 2866002026ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | bf39929d-f5f9-470f-8746-78ddc235eab1 | 
